publisher_name,title,publication_date,author_name,language_name
HarperCollins Publishers Ltd,Tree and Leaf: Includes Mythopoeia and The Homecoming of Beorhtnoth,05-02-2001,J.R.R. Tolkien,English
HarperCollins Publishers Ltd,Dreamland (Dreamland  #1),02-07-2001,Dale Brown,English
HarperCollins Publishers Ltd,Dreamland (Dreamland  #1),02-07-2001,Jim DeFelice,English
HarperCollins Publishers,Partners in Crime (Tommy and Tuppence #2),01-01-2001,Agatha Christie,English
HarperCollins,The Lord of the Rings: The Return of the King - Visual Companion,06-11-2003,Jude Fisher,English
Harper Perennial,All Families Are Psychotic,01-07-2002,Douglas Coupland,English
Harper,Hallowe'en Party (Hercule Poirot  #39),03-09-2001,Agatha Christie,English
HarperCollins Publishers,Hercule Poirot's Christmas (Hercule Poirot  #20),01-09-2001,Agatha Christie,English
HarperCollins Publishers,Mrs. McGinty's Dead (Hercule Poirot  #30),01-07-2002,Agatha Christie,English
HarperCollins Publishers,Dead Man's Folly (Hercule Poirot  #33),01-07-2008,David Suchet,English
HarperCollins Publishers,The Metaphysical Club,01-02-2010,Louis Menand,English
Voyager,At the Mountains of Madness and Other Novels of Terror,17-06-2002,August Derleth,English
Voyager,At the Mountains of Madness and Other Novels of Terror,17-06-2002,E. Hoffmann Price,English
Voyager,At the Mountains of Madness and Other Novels of Terror,17-06-2002,H.P. Lovecraft,English
Not Avail,The Lord of the Rings (The Lord of the Rings  #1-3),16-09-2002,Alan Lee,English
Not Avail,The Lord of the Rings (The Lord of the Rings  #1-3),16-09-2002,Rob Inglis,English
HarperCollins,The Annotated Hobbit,07-04-2003,Douglas A. Anderson,English
HarperCollins,The Annotated Hobbit,07-04-2003,J.R.R. Tolkien,English
HarperCollins,The History of Middle-Earth Index (The History of Middle-Earth  #13),05-08-2002,Christopher Tolkien,English
HarperCollins,The History of Middle-Earth Index (The History of Middle-Earth  #13),05-08-2002,J.R.R. Tolkien,English
Collins Modern Classics,The Lord of the Rings / The Hobbit,07-10-2002,J.R.R. Tolkien,English
HarperCollins Publishers,Complete Works of Oscar Wilde,04-08-2003,Merlin Holland,English
HarperCollins Publishers,Complete Works of Oscar Wilde,04-08-2003,Oscar Wilde,English
HarperCollins Publishers,Tales from the Perilous Realm,02-09-2002,J.R.R. Tolkien,English
HarperCollins,The Yiddish Policemen's Union,01-05-2007,Michael Chabon,English
Harper Perennial,How to Be Alone,02-07-2007,Jonathan Franzen,English
HarperCollins,Out of the Silent Planet (The Space Trilogy  #1),05-12-2005,C.S. Lewis,English
Harper Perennial,The Real Trial of Oscar Wilde,05-10-2004,Merlin Holland,English
HarperCollinsChildrenâ€™sBooks,I Can Read With My Eyes Shut!,06-05-2003,Dr. Seuss,English
HarperCollinsChildrenâ€™sBooks,Oh  The Places Youâ€™ll Go!,06-05-2003,Dr. Seuss,English
HarperCollins Publishers,Are You Afraid of the Dark?,01-07-2005,Sidney Sheldon,English
Vanguard Press,And to Think That I Saw It on Mulberry Street,04-08-2003,Dr. Seuss,English
HarperCollinsChildrenâ€™sBooks,Ten Apples Up On Top!,04-08-2003,Dr. Seuss,English
HarperCollinsChildrenâ€™sBooks,Ten Apples Up On Top!,04-08-2003,Roy McKie,English
HarperCollinsChildrenâ€™sBooks,Ten Apples Up On Top!,04-08-2003,Theo LeSieg,English
Harper Perennial,The Opposite of Fate,01-07-2004,Amy Tan,English
Benziger,Der Prophet,06-11-2003,Kahlil Gibran,German
Claassen Verlag,Der BuchhÃ¤ndler aus Kabul: Eine Familiengeschichte,06-11-2003,Ã…sne Seierstad,German
Ullstein,Wolfsbrut.,05-01-2004,Nelson DeMille,German
Ullstein Tb,Gefahr im Roten Meer (Treason's Harbour) (Aubrey/Maturin Book 9),05-01-2004,Patrick O'Brian,German
Ullstein Tb,ManÃ¶ver um Feuerland (The Far Side of the World) (Aubrey/Maturin Book 10),05-01-2004,Patrick O'Brian,German
Ullstein Buchverlage GmbH & Co. KG / Ullstein Tas,Hafen des UnglÃ¼cks (Aubrey/Maturin Book 11),02-10-2004,Patrick O'Brian,German
List,Ali und Nino,01-11-2005,Kurban Said,German
List Taschenbuch,Yeats ist tot!,01-05-2006,Anthony Cronin,German
List Taschenbuch,Yeats ist tot!,02-01-2004,Charlie O'Neill,German
List Taschenbuch,Yeats ist tot!,31-12-2015,Conor McPherson,German
List Taschenbuch,Yeats ist tot!,01-01-2008,Diethard Herles,German
List Taschenbuch,Yeats ist tot!,08-11-2004,Donal O'Kelly,German
List Taschenbuch,Yeats ist tot!,01-10-2004,Frank McCourt,German
List Taschenbuch,Yeats ist tot!,03-05-2005,Gene Kerrigan,German
List Taschenbuch,Yeats ist tot!,03-05-2005,Gerard Stembridge,German
List Taschenbuch,Yeats ist tot!,03-05-2005,Gina Moxley,German
List Taschenbuch,Yeats ist tot!,17-12-1998,Hugo Hamilton,German
List Taschenbuch,Yeats ist tot!,14-04-1995,Joseph O'Connor,German
List Taschenbuch,Yeats ist tot!,01-09-1992,Marian Keyes,German
List Taschenbuch,Yeats ist tot!,17-03-1995,Owen O'Neill,German
List Taschenbuch,Yeats ist tot!,01-06-1974,Pauline McLynn,German
List Taschenbuch,Yeats ist tot!,30-04-1987,Tom Humphries,German
Carlsen,Harry Potter und die Kammer des Schreckens (Harry Potter  #2),01-01-1970,J.K. Rowling,German
Carlsen,Harry Potter und der Gefangene von Askaban (Harry Potter  #3),01-01-1970,Rufus Beck,German
Carlsen,Mein UrgroÃŸvater  die Helden und ich,01-03-1987,James KrÃ¼ss,German
Carlsen,Utena: Revolutionary Girl 01,24-12-1995,Chiho Saito,German
Omnibus Hc Bei Bertelsmann,Rover rettet Weihnachten.,24-12-1995,Brian Ajhar,German
Omnibus Hc Bei Bertelsmann,Rover rettet Weihnachten.,11-01-1958,Roddy Doyle,German
Fischer Taschenbuch Verlag,Fish & Chips (The Barrytown Trilogie  #3),11-01-1958,Renate Orth-Guttmann,German
Fischer Taschenbuch Verlag,Fish & Chips (The Barrytown Trilogie  #3),05-02-1976,Roddy Doyle,German
Fischer TB,The Snapper,01-12-1997,Roddy Doyle,German
Fischer (Tb.),TraumjÃ¤ger und Goldpfote,01-12-1997,Hans J. SchÃ¼tz,German
Fischer (Tb.),TraumjÃ¤ger und Goldpfote,01-02-1995,Tad Williams,German
Blanvalet Verlag GmbH,Betrogen,01-02-1995,Sandra Brown,German
F. Meiner,Wissenschaft der Logik: Die Lehre Vom Begriff (1816),01-03-1991,Georg Wilhelm Friedrich Hegel,German
C. Bange,ErlaÌˆuterungen Zu Max Frisch  Homo Faber,01-03-1978,Bernd Matzkowski,German
Kabel Verlag GmbH Ernst,Die Hexen von Salem Falls,01-03-1978,Jodi Picoult,German
è¬›è«‡ç¤¾,ãã¿ã¯ãƒšãƒƒãƒˆ 11 [Kimi wa Petto 11],01-09-1998,Yayoi Ogawa,Japanese
è¬›è«‡ç¤¾,ãã¿ã¯ãƒšãƒƒãƒˆ 11 [Kimi wa Petto 11],01-09-1998,å°å· å½Œç”Ÿ,Japanese
è¬›è«‡ç¤¾,ãƒ„ãƒã‚µ-RESERVoir CHRoNiCLE- 3,01-09-1998,CLAMP,Japanese
è¬›è«‡ç¤¾,ãƒ„ãƒã‚µ-RESERVoir CHRoNiCLE- 4,01-09-1998,CLAMP,Japanese
è¬›è«‡ç¤¾,ãƒ„ãƒã‚µ-RESERVoir CHRoNiCLE- 6,01-09-1998,CLAMP,Japanese
